事業者,物件名,都道府県,住所,収容台数,時間帯料金(生),最大料金(生),営業時間,満空,緯度,経度,取得日時,URL
エコロパーク,エコロパーク クレイノTMK駐車場,広島県,広島県広島市南区宇品神田2-10-5,6,,月~金 24時間 500円 ; 日曜/祝日 24時間 400円 ; 全日 夜 18時〜8時 200円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/6901/
エコロパーク,エコロパーク 宮城松島第1駐車場,宮城県,宮城県宮城郡松島町松島字普賢堂,23,,全日 24時間 200円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/6802/
エコロパーク,エコロパーク 国分町第1駐車場,宮城県,宮城県仙台市青葉区国分町3-10-8,18,全日 昼 7時〜19時 20分110円 ; 全日 夜 19時〜7時 60分110円,月~金 昼 7時〜19時 1250円 ; 土曜/日曜/祝日 昼 7時〜19時 900円 ; 全日 夜 19時〜7時 400円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/5410/
エコロパーク,エコロパーク フォレスト・ヒル仙台青葉駐車場,宮城県,宮城県仙台市青葉区川内澱橋通5-1,9,,全日 24時間 500円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/5416/
エコロパーク,エコロパーク 花京院第1駐車場,宮城県,宮城県仙台市青葉区花京院2-2-11,8,全日 昼 7時〜19時 20分110円 ; 全日 夜 19時〜7時 60分110円,月~土 昼 7時〜19時 1000円 ; 日曜/祝日 昼 7時〜19時 700円 ; 全日 夜 19時〜7時 300円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/5504/
エコロパーク,エコロパーク 元寺小路第1駐車場,宮城県,宮城県仙台市宮城野区元寺小路306-13,2,全日 昼 8時〜20時 20分100円 ; 全日 夜 20時〜8時 60分100円,月~金 昼 8時〜20時 1200円 ; 土曜/日曜/祝日 昼 8時〜20時 900円 ; 全日 夜 20時〜8時 300円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/5535/
エコロパーク,エコロパーク ウエストパーク支倉駐車場,宮城県,宮城県仙台市青葉区支倉町2-50,5,全日 昼 7時〜19時 20分100円 ; 全日 夜 19時〜7時 60分100円,全日 12時間 850円 ; 全日 夜 19時〜7時 350円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/5418/
エコロパーク,エコロパーク グランメゾン七福駐車場,宮城県,宮城県仙台市太白区富沢南2-20-6,2,,全日 24時間 600円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/5415/
エコロパーク,エコロパーク 萩野町第1駐車場,宮城県,宮城県仙台市宮城野区萩野町1-11-10,8,全日 終日 20分100円,通常日 24時間 500円 ; イベント日 24時間 1400円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/5838/
エコロパーク,エコロパーク 木ノ下第1駐車場,宮城県,宮城県仙台市若林区木ノ下1-16-38,6,,通常日 24時間 500円 ; イベント日 24時間 1400円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/5962/
エコロパーク,エコロパーク 泉中央第1駐車場,宮城県,宮城県仙台市泉区泉中央3丁目27,35,全日 終日 20分100円,全日 24時間 600円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/6169/
エコロパーク,エコロパーク ソレイユハイツ泉中央駐車場,宮城県,宮城県仙台市泉区泉中央4丁目8-4,14,全日 終日 40分220円,全日 24時間 600円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/6181/
エコロパーク,エコロパーク 石巻立町第1駐車場,宮城県,宮城県石巻市立町2-3-32,16,,全日 昼 7時〜17時 300円 ; 全日 夜 17時〜7時 500円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/5526/
エコロパーク,エコロパーク 四日市市九の城町第1駐車場,三重県,三重県四日市市九の城町4,24,全日 終日 60分200円,全日 12時間 400円 ; 全日 夜 18時〜8時 300円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/5255/
エコロパーク,エコロパーク 奈良九条町第1駐車場,奈良県,奈良県大和郡山市九条町355-2,6,,全日 24時間 400円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/9615/
エコロパーク,エコロパーク 王寺町本町第2駐車場,奈良県,奈良県北葛城郡王寺町本町1-6,6,,全日 24時間 400円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/6059/
エコロパーク,エコロパーク 畠田駅前第1駐車場,奈良県,奈良県北葛城郡王寺町畠田4-10,6,,全日 24時間 400円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/3298/
エコロパーク,エコロパーク 王寺町本町第1駐車場,奈良県,奈良県北葛城郡王寺町本町1-5-16,7,,全日 24時間 400円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/4368/
エコロパーク,エコロパーク 奈良安堵町第1駐車場,奈良県,奈良県生駒郡安堵町大字東安堵99,6,,全日 24時間 300円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/3766/
エコロパーク,エコロパーク 近鉄耳成駅前第1駐車場,奈良県,奈良県橿原市石原田町206-6,11,,全日 24時間 700円 ; 全日 夜 20時〜8時 300円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/7317/
エコロパーク,エコロパーク 西松ヶ丘第1駐車場,奈良県,奈良県生駒市西松ヶ丘22付近,9,,全日 24時間 300円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/9290/
エコロパーク,エコロパーク 北生駒駅前第1駐車場,奈良県,奈良県生駒市上町3510-1,10,,月~金 24時間 600円 ; 土曜/日曜/祝日 24時間 400円 ; 全日 夜 18時〜8時 300円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/5133/
エコロパーク,エコロパーク 新大宮駅前第1駐車場,奈良県,奈良県奈良市芝辻町4-6-4,5,,全日 24時間 400円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/5322/
エコロパーク,エコロパーク 帝塚山第1駐車場,奈良県,奈良県奈良市帝塚山2-21-47,14,,月~金 24時間 400円 ; 土曜/日曜/祝日 24時間 600円 ; 全日 夜 20時〜8時 300円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/6335/
エコロパーク,エコロパーク 法華寺町第1駐車場,奈良県,奈良県奈良市法華寺町221,10,,全日 24時間 500円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/6701/
エコロパーク,エコロパーク 奈良大宮町第1駐車場,奈良県,奈良県奈良市大宮町6-7-5,15,,月~金 24時間 500円 ; 土曜/日曜/祝日 24時間 400円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/6919/
エコロパーク,エコロパーク 富雄駅前第1駐車場,奈良県,奈良県奈良市富雄川西1-2-4,23,,全日 24時間 500円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/6945/
エコロパーク,エコロパーク 学園北2丁目第1駐車場,,,13,全日 終日 60分200円,全日 24時間 600円 ; 全日 夜 19時〜8時 300円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/9649/
エコロパーク,エコロパーク 奈良市大森町第1駐車場,,,17,,全日 24時間 400円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/9802/
エコロパーク,エコロパーク 三松2丁目第1駐車場,,,16,,全日 24時間 500円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/9741/
エコロパーク,エコロパーク 西大寺新田町第1駐車場,奈良県,奈良県奈良市西大寺新田町(新田町7-17西隣),12,,全日 24時間 300円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/4857/
エコロパーク,エコロパーク 奈良五条西第1駐車場,奈良県,奈良県奈良市五条西1-36-15,4,,全日 24時間 600円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/3798/
エコロパーク,エコロパーク 天理駅前第1駐車場,奈良県,奈良県天理市川原城町640,20,,月~金 24時間 500円 ; 土曜/日曜/祝日 24時間 700円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/6240/
エコロパーク,エコロパーク 富堂町第1駐車場,奈良県,奈良県天理市富堂町211-12、－13,8,,全日 24時間 300円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/4077/
エコロパーク,エコロパーク 五位堂駅前第1駐車場,奈良県,奈良県香芝市瓦口59-5,5,,全日 24時間 600円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/3787/
エコロパーク,エコロパーク 神爪1丁目第1駐車場,,,39,,全日 24時間 500円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/10096/
エコロパーク,エコロパーク 加古川北在家第1駐車場,,,19,,全日 24時間 400円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/10163/
エコロパーク,エコロパーク 姫路市北条口第1駐車場,兵庫県,兵庫県姫路市北条口3-50,16,,全日 24時間 500円 ; 全日 夜 17時〜8時 300円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/9064/
エコロパーク,コインパーキング・駐車場経営ならエコロパーク,,,,,,,,,,2026-07-08T11:20:26.430Z,https://service.ecolocity.co.jp/park/coin-parking/9345/
エコロパーク,エコロパーク 姫路東雲町3丁目第1駐車場,兵庫県,兵庫県姫路市東雲町3-13,18,,全日 24時間 400円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/9518/
エコロパーク,エコロパーク 姫路伊伝居第1駐車場,,,8,,月~金 24時間 400円 ; 土曜/日曜/祝日 24時間 600円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/9960/
エコロパーク,エコロパーク 姫路市北条口1丁目第2駐車場,,,9,全日 昼 8時〜20時 60分220円 ; 全日 夜 20時〜8時 60分110円,全日 24時間 800円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/9825/
エコロパーク,エコロパーク 姫路立町第1駐車場,,,12,全日 終日 40分220円,全日 昼 8時〜18時 500円 ; 全日 夜 18時〜8時 700円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/9848/
エコロパーク,エコロパーク 姫路立町第2駐車場,,,21,全日 終日 40分200円,全日 昼 8時〜18時 500円 ; 全日 夜 18時〜8時 700円,24時間,,,,2026-07-14T06:10:37.815Z,https://service.ecolocity.co.jp/park/coin-parking/9963/
エコロパーク,エコロパーク 伊丹池尻第1駐車場,兵庫県,兵庫県伊丹市池尻2-45,3,,全日 24時間 400円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/5980/
エコロパーク,エコロパーク 伊丹市鴻池第1駐車場,兵庫県,兵庫県伊丹市鴻池5-7-17,9,,全日 12時間 400円 ; 全日 24時間 600円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/7087/
エコロパーク,エコロパーク 野間北第1駐車場,兵庫県,兵庫県伊丹市野間北5-4-23,11,,全日 24時間 450円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/7734/
エコロパーク,エコロパーク 松ヶ丘第1駐車場,兵庫県,兵庫県伊丹市松ヶ丘1丁目197,4,,全日 24時間 500円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/4244/
エコロパーク,エコロパーク 明石市和坂2丁目第1駐車場,,,11,,全日 24時間 400円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/9726/
エコロパーク,エコロパーク 樽屋町第1駐車場,,,5,,全日 24時間 500円 ; 全日 夜 20時〜8時 200円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/9704/
エコロパーク,エコロパーク 川西小花第3駐車場,兵庫県,兵庫県川西市小花1-21-15,2,全日 終日 30分110円,全日 24時間 800円 ; 全日 夜 18時〜8時 400円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/7604/
エコロパーク,エコロパーク 川西小花第4駐車場,兵庫県,兵庫県川西市小花1-14-7,5,,全日 24時間 700円 ; 全日 夜 18時〜8時 300円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/9068/
エコロパーク,エコロパーク 川西市加茂第1駐車場,兵庫県,兵庫県川西市加茂2-1-28,2,全日 昼 8時〜20時 30分100円 ; 全日 夜 20時〜8時 60分100円,全日 24時間 500円 ; 全日 夜 20時〜8時 300円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/9146/
エコロパーク,エコロパーク 川西小花第5駐車場,兵庫県,兵庫県川西市小花2-22-24,4,,全日 24時間 600円 ; 全日 夜 18時〜8時 300円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/9266/
エコロパーク,エコロパーク 南花屋敷第1駐車場,兵庫県,兵庫県川西市南花屋敷1-6-2,8,,全日 24時間 700円 ; 全日 夜 18時〜8時 400円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/9283/
エコロパーク,エコロパーク 川西小花第1駐車場,兵庫県,兵庫県川西市小花2-8-1,3,全日 昼 8時〜20時 30分200円 ; 全日 夜 20時〜8時 60分100円,全日 昼 8時〜20時 700円 ; 全日 夜 20時〜8時 300円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/3027/
エコロパーク,エコロパーク 山下駅前第1駐車場,兵庫県,兵庫県川西市見野2-28-19,3,全日 昼 7時〜20時 60分200円 ; 全日 夜 20時〜7時 60分100円,全日 24時間 400円 ; 全日 夜 20時〜7時 200円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/3454/
エコロパーク,エコロパーク 川西小花第2駐車場,兵庫県,兵庫県川西市小花1丁目3,2,,全日 24時間 700円,24時間,,,,2026-07-01T07:15:07.333Z,https://service.ecolocity.co.jp/park/coin-parking/5266/
